RE	sigma_RE	<E>	sigma_<E>	time
0.06918900741109085	0.00012172092127088496	1478.862122087878	0.09892403384293902	3h_032
0.06938018990927773	0.00012011860746016007	1478.7882661881683	0.09865639237545884	3h_033
0.06924784434845095	0.00012145776800612498	1478.8169636713974	0.09876307201502607	3h_034
0.06924311108843419	0.00012256459680615612	1479.360987696267	0.09883779047129734	3h_035
0.06930182263776555	0.00012254607694287768	1480.050197404971	0.0991452634607744	3h_036
0.06932516122857807	0.0001195246736705678	1480.8913414962728	0.09876317711323376	3h_037
0.06935740717463487	0.00012341215973346185	1482.057866760659	0.0991033452429308	3h_038
0.06918176977627807	0.00011899601582691669	1482.933300059146	0.09885452408760075	3h_039
0.0691463210263629	0.00012270105068987037	1483.4081495597425	0.09918576970850806	3h_040
0.06909194442678883	0.00012030766986560389	1482.4109268502582	0.09871036241685155	3h_041
0.06928429240797539	0.00012340968555723655	1480.8387267306848	0.09903579904368535	3h_042
0.0691372126289576	0.00012024402628451616	1479.1868276040298	0.09841194212363988	3h_043
0.06922691516269701	0.00012296938681814445	1478.0968925529953	0.09881167068093033	3h_044
0.06914290698004533	0.00011858724862074971	1477.6896797328943	0.09817718001696346	3h_045
0.06913552200082099	0.0001210345028944508	1478.3360270511273	0.0985288970533257	3h_046
0.06933641192157222	0.00011861898188056597	1479.4710365538026	0.09842908006682402	3h_047
0.06940493687695268	0.00012057196550760366	1480.63271874902	0.09886557549528897	3h_048
0.06940370683246629	0.0001251044887897054	1481.5703665760916	0.09915539902230627	3h_049
0.06917593606000445	0.00011819331346682192	1482.402957716486	0.09861944794592299	3h_050
0.06911018197471422	0.00011950124964894684	1483.4627217087375	0.09849342741208655	3h_051
0.06942446223584475	0.00012080508025111477	1483.541345196908	0.09925615831084944	3h_052
0.06937691511340431	0.00012052008201993599	1482.6236060494039	0.09925885526034059	3h_053
0.06927107443453671	0.0001217534398575124	1480.7590247668543	0.09886648628482345	3h_054
0.06932221965941295	0.00012084608060623307	1479.3701814949045	0.09891195131929659	3h_055
0.06913647872474121	0.00012149749692309404	1478.6647666307163	0.0985841919306626	3h_056
0.06923033628688564	0.00012129351091523932	1479.1948747582812	0.09887277632076377	3h_057
0.06926926898883673	0.00012069311249510716	1479.4596850903292	0.09878911961165543	3h_058
0.06932950865338408	0.00012060765413516661	1480.3401599077345	0.098657541754831	3h_059
0.06924938741491408	0.00012127063455698108	1481.190308210083	0.09889122745348858	3h_060
0.06922494966472129	0.00012126466313742789	1481.8058941952686	0.09883353969513915	3h_061
0.0691653862369935	0.0001208566600608668	1482.5239451841194	0.0991914637555981	3h_062
0.06911904556991082	0.00012097013494586357	1483.1339647166312	0.09894067585113826	3h_063
0.06937498180639443	0.00011930700746366224	1482.5812246728124	0.09884219343956069	3h_064
0.06931105625211115	0.00012162327449775876	1481.0576910776683	0.09882011490804783	3h_065
0.06938604400584011	0.00012176880718868231	1479.0141472939017	0.09918091601733472	3h_066
0.06942151167388835	0.0001207241485617448	1477.5220434895298	0.09891853485512718	3h_067
0.0693545961563575	0.0001222321828177676	1477.535532886471	0.09866687522912128	3h_068
0.06903844392911182	0.00011960096138010547	1477.6713284749892	0.09820336024100289	3h_069
0.06904104676226931	0.00011965043734875708	1477.9061275011227	0.09844165084672563	3h_070
0.06919386322067225	0.00012128888019059726	1478.695451813849	0.09883119837514248	3h_071
0.06922103570865197	0.00012048949556351814	1479.2850893255074	0.09866174066621318	3h_072
0.06912591925597285	0.00011935853595917354	1479.8650018873661	0.09864940654901257	3h_073
0.06926753947088668	0.00012408790184858547	1480.588967841365	0.09926638924619892	3h_074
0.06932220311079075	0.00011851528338992015	1481.001317844405	0.0985948308154793	3h_075
0.0692377354501612	0.00012165970567564769	1480.4685638021738	0.09918141819647534	3h_076
0.06933344913483427	0.0001203639762322855	1478.6370960107117	0.09872169312496383	3h_077
0.06901755494235998	0.00012230460451493724	1476.8585257979248	0.09873364049299463	3h_078
0.0692426610586575	0.0001232634700751648	1476.1598335487251	0.09873097072898977	3h_079
0.06910782542336653	0.00012131748754386512	1476.1057114388032	0.09838456581653156	3h_080
0.06899181009638576	0.000120801116829943	1476.6112204390072	0.09833315715677299	3h_081
0.06911578293849482	0.00012254735162398961	1476.8487525534315	0.09879762457838225	3h_082
0.06908205816204059	0.00012269588533959708	1477.3538780545857	0.09873877085361127	3h_083
0.06906669677027515	0.0001219786117150136	1477.9954620272883	0.09869335787636045	3h_084
0.06892028249507345	0.00012080475287552424	1478.3972428732045	0.09829805583229904	3h_085
0.06907490591960329	0.0001215423901303524	1478.9723690112894	0.09864370079918822	3h_086
0.06918197776265915	0.00012202981190392828	1478.993544534778	0.09896805321460957	3h_087
0.06907004584475072	0.00011992318412231961	1478.1092066155177	0.09853819569501145	3h_088
0.06897630607821197	0.00012178463946522296	1476.2959644557934	0.09839068179329502	3h_089
0.06918623779002585	0.00012117133535958717	1475.016705169306	0.09846092203067418	3h_090
0.06924893797448525	0.00012115129607867187	1474.7484147619782	0.09842875224796237	3h_091
0.069345598293689	0.00011936183958611561	1474.804345079739	0.09825182574391286	3h_092
0.06918593021061613	0.00012189723465588866	1475.3995101001603	0.09844741116632844	3h_093
0.06918227692098035	0.0001252747201762227	1475.5306624574687	0.09915984268404776	3h_094
0.06926035235583965	0.00012036064307036845	1476.2242974344358	0.09852551054354709	3h_095
0.06912916092647178	0.00012168640562007485	1476.3414626334998	0.09859777126883289	3h_096
0.06904054133102139	0.00012243597869296142	1476.9114137304266	0.09855406714604563	3h_097
0.06945814765387824	0.00012295941196339145	1476.7079730297824	0.09927929104006827	3h_098
0.06905638253717085	0.00012065827953699508	1476.2442811160095	0.09855063468168322	3h_099
0.06919357684567966	0.00012153085466488224	1474.4887680315117	0.09846922073597637	3h_100
0.06928569830283876	0.00011887261734191809	1472.2506831687967	0.09774128194900382	3h_101
0.06921159520128742	0.00012154562483356567	1470.528680906704	0.09814740259688498	3h_102
0.06919950608816273	0.00012254095922331843	1470.3675419162082	0.09832713995474383	3h_103
0.069294189953357	0.00012053818311137696	1470.593583774013	0.09839321799825311	3h_104
0.06918092787802602	0.00012058862558600325	1470.9883422066437	0.09807826883788152	3h_105
0.0692753355166914	0.00012354983358090437	1471.5418195257794	0.09830474115134359	3h_106
0.0693149681735293	0.00012267218451145773	1472.5054098944759	0.0989968524484772	3h_107
0.06917154953135543	0.00011886991812913435	1473.2655360780882	0.09855607271266636	3h_108
0.06926845102700581	0.00012216372262643252	1473.7174360362062	0.09868187337954025	3h_109
0.06903627306008954	0.00012091702911728993	1473.5433216107026	0.09846083576416503	3h_110
0.06912511895791505	0.00012097350230526275	1472.6067395369837	0.09838285947140026	3h_111
