Descrizione Campione: Ti
Inizio misura: 07-02-25 17:58:04
RealTime: 7
LiveTime: 0
N eventi: 380911
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
624	216.971	94
625	217.339	113
626	217.706	109
627	218.073	118
628	218.441	139
629	218.808	106
630	219.176	104
631	219.543	115
632	219.91	117
633	220.278	106
634	220.645	115
635	221.013	119
636	221.38	106
637	221.748	119
638	222.115	102
639	222.482	99
640	222.85	94
641	223.217	109
642	223.585	96
643	223.952	101
644	224.32	109
645	224.687	104
646	225.055	112
647	225.422	103
648	225.79	110
649	226.157	105
650	226.525	99
651	226.893	96
652	227.26	110
653	227.628	106
654	227.995	109
655	228.363	133
656	228.73	92
657	229.098	119
658	229.466	118
659	229.833	86
660	230.201	85
661	230.568	111
662	230.936	94
663	231.304	88
664	231.671	98
665	232.039	96
666	232.406	88
667	232.774	100
668	233.142	115
669	233.509	100
670	233.877	93
671	234.245	71
672	234.612	89
673	234.98	73
674	235.348	97
675	235.715	97
676	236.083	89
677	236.451	95
678	236.819	128
679	237.186	109
680	237.554	98
681	237.922	97
682	238.29	87
683	238.657	92
684	239.025	96
685	239.393	115
686	239.761	75
687	240.128	116
688	240.496	118
689	240.864	106
690	241.232	92
691	241.599	106
692	241.967	88
693	242.335	103
694	242.703	98
695	243.071	93
696	243.439	96
697	243.806	90
698	244.174	94
699	244.542	81
700	244.91	104
701	245.278	110
702	245.646	77
703	246.014	91
704	246.381	95
705	246.749	86
706	247.117	93
707	247.485	88
708	247.853	85
709	248.221	79
710	248.589	89
711	248.957	122
712	249.325	95
713	249.693	112
714	250.061	107
715	250.429	76
716	250.797	102
717	251.165	64
718	251.532	87
719	251.9	108
720	252.268	73
721	252.636	90
722	253.004	117
723	253.372	106
724	253.74	95
725	254.108	85
726	254.477	88
727	254.845	105
728	255.213	85
729	255.581	92
730	255.949	87
731	256.317	92
732	256.685	85
733	257.053	76
734	257.421	65
735	257.789	85
736	258.157	94
737	258.525	99
738	258.893	106
739	259.261	86
740	259.63	90
741	259.998	82
742	260.366	73
743	260.734	94
744	261.102	97
745	261.47	94
746	261.838	93
747	262.207	93
748	262.575	104
749	262.943	103
750	263.311	93
751	263.679	92
752	264.047	81
753	264.416	77
754	264.784	83
755	265.152	84
756	265.52	93
757	265.888	85
758	266.257	74
759	266.625	87
760	266.993	82
761	267.361	100
762	267.73	85
763	268.098	100
764	268.466	81
765	268.835	98
766	269.203	107
767	269.571	80
768	269.939	66
769	270.308	83
770	270.676	83
771	271.044	93
772	271.413	99
773	271.781	81
774	272.149	70
775	272.518	92
776	272.886	76
777	273.254	74
778	273.623	82
779	273.991	101
780	274.359	104
781	274.728	90
782	275.096	92
783	275.465	97
784	275.833	76
785	276.201	75
786	276.57	96
787	276.938	80
788	277.307	81
789	277.675	104
790	278.044	93
791	278.412	94
792	278.78	73
793	279.149	83
794	279.517	83
795	279.886	88
796	280.254	65
797	280.623	85
798	280.991	75
799	281.36	65
800	281.728	75
801	282.097	80
802	282.465	66
803	282.834	85
804	283.202	86
805	283.571	82
806	283.939	87
807	284.308	89
808	284.677	77
809	285.045	72
810	285.414	93
