Descrizione Campione: Am
Inizio misura: 07-02-25 18:04:35
RealTime: 1
LiveTime: 0
N eventi: 39751
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
748	262.575	3
749	262.943	-4
750	263.311	0
751	263.679	0
752	264.047	-2
753	264.416	-1
754	264.784	2
755	265.152	0
756	265.52	4
757	265.888	-3
758	266.257	-6
759	266.625	7
760	266.993	-5
761	267.361	4
762	267.73	3
763	268.098	5
764	268.466	2
765	268.835	-2
766	269.203	8
767	269.571	-3
768	269.939	-11
769	270.308	-2
770	270.676	9
771	271.044	-1
772	271.413	4
773	271.781	-7
774	272.149	3
775	272.518	0
776	272.886	0
777	273.254	8
778	273.623	-7
779	273.991	5
780	274.359	1
781	274.728	-7
782	275.096	1
783	275.465	-1
784	275.833	5
785	276.201	-3
786	276.57	-4
787	276.938	-6
788	277.307	4
789	277.675	3
790	278.044	1
791	278.412	-1
792	278.78	-6
793	279.149	-5
794	279.517	3
795	279.886	0
796	280.254	-8
797	280.623	-3
798	280.991	-1
799	281.36	8
800	281.728	0
801	282.097	3
802	282.465	0
803	282.834	0
804	283.202	-4
805	283.571	-4
806	283.939	2
807	284.308	5
808	284.677	-1
809	285.045	4
810	285.414	-2
811	285.782	1
812	286.151	0
813	286.519	-6
814	286.888	-5
815	287.257	8
816	287.625	4
817	287.994	-2
818	288.362	-3
819	288.731	-7
820	289.1	-2
821	289.468	-3
822	289.837	2
823	290.206	-1
824	290.574	3
825	290.943	6
826	291.312	-2
827	291.68	-7
828	292.049	3
829	292.418	-7
830	292.786	1
831	293.155	1
832	293.524	4
833	293.892	3
834	294.261	-6
835	294.63	4
836	294.999	-4
837	295.367	-5
838	295.736	-11
839	296.105	0
840	296.474	1
841	296.842	-3
842	297.211	2
843	297.58	0
844	297.949	0
845	298.318	-1
846	298.686	-3
847	299.055	1
848	299.424	5
849	299.793	1
850	300.162	1
851	300.53	-6
852	300.899	1
853	301.268	-2
854	301.637	1
855	302.006	-3
856	302.375	-3
857	302.744	8
858	303.112	-1
859	303.481	-1
860	303.85	-2
861	304.219	-3
862	304.588	3
863	304.957	-5
864	305.326	-1
865	305.695	0
866	306.064	-1
867	306.433	-5
868	306.802	-1
869	307.171	-2
870	307.54	-2
871	307.908	3
872	308.277	-2
873	308.646	-4
874	309.015	-1
875	309.384	1
876	309.753	-4
877	310.122	-3
878	310.491	-4
879	310.86	-6
880	311.229	-2
881	311.598	1
882	311.967	-1
883	312.337	-5
884	312.706	0
885	313.075	7
886	313.444	3
887	313.813	0
888	314.182	2
889	314.551	4
890	314.92	-5
891	315.289	-2
892	315.658	-1
893	316.027	0
894	316.396	-4
895	316.765	1
896	317.135	1
897	317.504	-4
898	317.873	2
899	318.242	1
900	318.611	-2
901	318.98	-1
902	319.349	-6
903	319.719	-3
904	320.088	-3
905	320.457	-3
906	320.826	2
907	321.195	1
908	321.565	-2
909	321.934	0
910	322.303	-1
911	322.672	-1
912	323.041	1
913	323.411	0
914	323.78	-2
915	324.149	0
916	324.518	-3
917	324.888	3
918	325.257	-1
919	325.626	-2
920	325.995	-2
921	326.365	2
922	326.734	-2
923	327.103	-4
924	327.473	2
925	327.842	-3
926	328.211	0
927	328.581	3
928	328.95	-3
929	329.319	-4
930	329.689	-1
931	330.058	-1
932	330.427	1
933	330.797	-3
934	331.166	1
935	331.535	-9
936	331.905	4
937	332.274	-3
938	332.644	-5
939	333.013	0
940	333.382	3
941	333.752	4
942	334.121	-3
943	334.491	-3
944	334.86	-4
945	335.229	-3
946	335.599	-1
947	335.968	-2
948	336.338	1
949	336.707	-1
950	337.077	-2
951	337.446	-5
952	337.816	3
953	338.185	3
954	338.555	-4
955	338.924	-2
956	339.294	-4
957	339.663	2
958	340.033	5
959	340.402	3
960	340.772	2
961	341.141	-2
962	341.511	2
963	341.88	10
964	342.25	2
965	342.62	-1
966	342.989	-4
967	343.359	-2
968	343.728	0
969	344.098	4
970	344.468	2
971	344.837	-3
972	345.207	4
973	345.576	-5
974	345.946	1
975	346.316	6
976	346.685	-1
977	347.055	-2
978	347.425	-4
979	347.794	1
980	348.164	-1
981	348.534	1
982	348.903	2
983	349.273	2
984	349.643	0
985	350.012	0
986	350.382	-3
987	350.752	-2
988	351.121	-4
989	351.491	7
990	351.861	-1
991	352.231	4
992	352.6	-2
993	352.97	-1
994	353.34	-3
995	353.71	4
996	354.079	-1
997	354.449	0
998	354.819	2
999	355.189	-1
1000	355.559	2
1001	355.928	4
1002	356.298	4
1003	356.668	-2
1004	357.038	4
1005	357.408	3
1006	357.777	0
1007	358.147	2
1008	358.517	-1
1009	358.887	3
1010	359.257	-1
1011	359.627	0
1012	359.997	1
1013	360.366	0
1014	360.736	2
1015	361.106	1
1016	361.476	-2
1017	361.846	-1
1018	362.216	-5
1019	362.586	2
1020	362.956	-6
1021	363.326	4
1022	363.696	-9
1023	364.066	-4
1024	364.436	0
1025	364.805	0
1026	365.175	0
1027	365.545	1
1028	365.915	-2
1029	366.285	3
1030	366.655	-3
