Descrizione Campione: Ra-F_600s.Spe
Inizio misura: 07-02-25 17:38:49
RealTime: 8
LiveTime: 0
N eventi: 303327
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
775	272.518	109
776	272.886	74
777	273.254	118
778	273.623	65
779	273.991	147
780	274.359	96
781	274.728	70
782	275.096	113
783	275.465	124
784	275.833	115
785	276.201	111
786	276.57	65
787	276.938	62
788	277.307	100
789	277.675	110
790	278.044	129
791	278.412	113
792	278.78	116
793	279.149	89
794	279.517	131
795	279.886	120
796	280.254	97
797	280.623	118
798	280.991	130
799	281.36	119
800	281.728	112
801	282.097	127
802	282.465	117
803	282.834	110
804	283.202	104
805	283.571	112
806	283.939	162
807	284.308	156
808	284.677	153
809	285.045	143
810	285.414	164
811	285.782	180
812	286.151	187
813	286.519	144
814	286.888	163
815	287.257	181
816	287.625	167
817	287.994	154
818	288.362	163
819	288.731	204
820	289.1	235
821	289.468	181
822	289.837	245
823	290.206	215
824	290.574	247
825	290.943	243
826	291.312	262
827	291.68	232
828	292.049	308
829	292.418	225
830	292.786	264
831	293.155	279
832	293.524	278
833	293.892	296
834	294.261	323
835	294.63	332
836	294.999	329
837	295.367	287
838	295.736	295
839	296.105	350
840	296.474	343
841	296.842	337
842	297.211	365
843	297.58	356
844	297.949	342
845	298.318	414
846	298.686	352
847	299.055	385
848	299.424	375
849	299.793	404
850	300.162	394
851	300.53	368
852	300.899	379
853	301.268	375
854	301.637	426
855	302.006	373
856	302.375	386
857	302.744	396
858	303.112	327
859	303.481	401
860	303.85	347
861	304.219	342
862	304.588	416
863	304.957	378
864	305.326	398
865	305.695	351
866	306.064	382
867	306.433	307
868	306.802	365
869	307.171	361
870	307.54	362
871	307.908	364
872	308.277	381
873	308.646	334
874	309.015	338
875	309.384	404
876	309.753	293
877	310.122	293
878	310.491	276
879	310.86	306
880	311.229	372
881	311.598	287
882	311.967	294
883	312.337	272
884	312.706	295
885	313.075	281
886	313.444	304
887	313.813	255
888	314.182	293
889	314.551	267
890	314.92	224
891	315.289	270
892	315.658	240
893	316.027	247
894	316.396	216
895	316.765	212
896	317.135	200
897	317.504	197
898	317.873	180
899	318.242	207
900	318.611	184
901	318.98	157
902	319.349	150
903	319.719	112
904	320.088	179
905	320.457	158
906	320.826	193
907	321.195	153
908	321.565	144
909	321.934	138
910	322.303	157
911	322.672	153
912	323.041	105
913	323.411	125
914	323.78	139
915	324.149	97
916	324.518	75
917	324.888	106
918	325.257	94
919	325.626	108
920	325.995	98
921	326.365	89
922	326.734	87
923	327.103	79
924	327.473	124
925	327.842	97
926	328.211	76
927	328.581	119
928	328.95	84
929	329.319	83
930	329.689	73
931	330.058	104
932	330.427	108
933	330.797	82
934	331.166	117
935	331.535	46
936	331.905	91
937	332.274	72
938	332.644	49
939	333.013	96
940	333.382	96
941	333.752	104
942	334.121	71
943	334.491	113
944	334.86	101
945	335.229	76
946	335.599	99
947	335.968	110
948	336.338	139
949	336.707	114
950	337.077	100
951	337.446	87
952	337.816	128
953	338.185	98
954	338.555	102
955	338.924	136
956	339.294	112
957	339.663	149
958	340.033	162
959	340.402	162
960	340.772	176
961	341.141	164
962	341.511	154
