Descrizione Campione: Co
Inizio misura: 07-02-25 17:54:55
RealTime: 2
LiveTime: 0
N eventi: 105233
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
490	167.802	2
491	168.168	3
492	168.535	6
493	168.901	10
494	169.268	-6
495	169.634	-2
496	170.001	-9
497	170.367	4
498	170.734	13
499	171.1	9
500	171.467	-4
501	171.833	-2
502	172.2	-2
503	172.567	4
504	172.933	5
505	173.3	6
506	173.666	1
507	174.033	3
508	174.4	-1
509	174.766	6
510	175.133	9
511	175.5	-4
512	175.866	3
513	176.233	3
514	176.6	0
515	176.966	1
516	177.333	16
517	177.7	-4
518	178.066	2
519	178.433	12
520	178.8	1
521	179.166	5
522	179.533	-3
523	179.9	8
524	180.266	-5
525	180.633	11
526	181	-5
527	181.367	9
528	181.733	-7
529	182.1	3
530	182.467	9
531	182.834	4
532	183.2	-1
533	183.567	-1
534	183.934	7
535	184.301	-5
536	184.668	5
537	185.034	6
538	185.401	12
539	185.768	-2
540	186.135	-15
541	186.502	-4
542	186.869	-14
543	187.235	0
544	187.602	5
545	187.969	-2
546	188.336	6
547	188.703	7
548	189.07	6
549	189.437	3
550	189.803	-10
551	190.17	-2
552	190.537	-3
553	190.904	-4
554	191.271	0
555	191.638	-1
556	192.005	15
557	192.372	3
558	192.739	-3
559	193.106	3
560	193.473	1
561	193.84	-5
562	194.207	4
563	194.574	4
564	194.941	9
565	195.308	4
566	195.675	-12
567	196.042	4
568	196.409	-2
569	196.776	-1
570	197.143	2
571	197.51	-8
572	197.877	9
573	198.244	6
574	198.611	3
575	198.978	-1
576	199.345	22
577	199.712	-1
578	200.079	8
579	200.446	2
580	200.813	3
581	201.18	-3
582	201.547	4
583	201.914	0
584	202.282	9
585	202.649	10
586	203.016	5
587	203.383	3
588	203.75	4
589	204.117	-1
590	204.484	-13
591	204.851	1
592	205.219	-3
593	205.586	0
594	205.953	-1
595	206.32	5
