
RE	sigma_RE	<E>	sigma_<E>	time
0.06873043750098047	0.0002949281754572376	1424.628405314504	0.23727347404215665	Na22_20min_069
0.0686220089212677	0.0002970752411550927	1424.7253105327195	0.23613496439951168	Na22_20min_070
0.06875934329889101	0.0003020034301684454	1424.418219871124	0.23635111856328758	Na22_20min_071
0.06890237989842052	0.0002933447786618894	1424.465621871762	0.23662943928635805	Na22_20min_072
0.06844410330820004	0.000301007570997304	1424.7957307537126	0.23623909085063716	Na22_20min_073
0.06840272867435103	0.0002941726905338824	1424.0816342891626	0.23584588348121688	Na22_20min_074
0.06908489012599565	0.0002993993182557464	1424.166389459623	0.2383717117491517	Na22_20min_075
0.06820136501142661	0.0002970832546601516	1424.4090178095705	0.2353238431757933	Na22_20min_076
0.06887953928658054	0.0002987717644979318	1424.5011299653709	0.23589945755334224	Na22_20min_077
0.06928165275094346	0.00030484584072557085	1425.313478760783	0.24024353057417433	Na22_20min_078
0.0687441259627195	0.00029525874967820516	1424.7403791995805	0.23736646162869557	Na22_20min_079
0.06907278406606894	0.00030065366153600134	1424.9629487951638	0.2377718120183039	Na22_20min_080
0.0687463795535576	0.0003001256464611789	1425.1494551622186	0.23853755641917138	Na22_20min_081
0.06949025019995303	0.00030520655110583727	1424.9597934344138	0.23978461768262868	Na22_20min_082
0.06844367999501103	0.0003010733213919433	1424.6753144559993	0.23526322370446037	Na22_20min_083
0.06905391166941104	0.00029844807006832813	1425.118464695616	0.23864590358493007	Na22_20min_084
0.0690453237263572	0.00029431548777668137	1425.74756150863	0.23795462416540566	Na22_20min_085
0.06883000390521168	0.0002982147423745479	1425.7628013216975	0.23742840893547223	Na22_20min_086
0.06897824007567414	0.0002967551617110777	1425.423153296052	0.23815984800198853	Na22_20min_087
0.0689205106332919	0.00030028904343148093	1425.7369078191887	0.23760046173032767	Na22_20min_088
0.0689399891673228	0.00030177307324304306	1425.7216697750114	0.23696360868585417	Na22_20min_089
0.06881890797813892	0.0002921913264260466	1425.63824568083	0.23681852104657306	Na22_20min_090
0.06847321832573222	0.0002961217310959214	1426.803288235238	0.23539379814149342	Na22_20min_091
0.06894576952970106	0.00029872234919206027	1426.6816958443526	0.2380944081863331	Na22_20min_092
0.0686799454539732	0.000295937083255665	1426.7663942561906	0.23776547798568787	Na22_20min_093
0.06834312249718241	0.0003016295095129159	1427.3940928052807	0.23692319689162278	Na22_20min_094
0.0683414225370232	0.0002888617387108821	1427.043106427933	0.23446227341776268	Na22_20min_095
0.06932122473241384	0.0003049684931895674	1427.3841485630503	0.23913705279507255	Na22_20min_096
0.06918310781307167	0.00030936274323991025	1427.1269838657638	0.23948513485368472	Na22_20min_097
0.06903296111623379	0.0002980304390707672	1427.4191141320362	0.23860726460205403	Na22_20min_098
0.06861505763692691	0.00029671888332462835	1427.1035773901576	0.2369197304722309	Na22_20min_099
0.06893133361815099	0.000295764853411612	1427.0241898340785	0.23710163030225928	Na22_20min_100
0.069145680507029	0.0003154374963348065	1427.6461687097612	0.2400232529039673	Na22_20min_101
0.06841432081591278	0.00029365251834384315	1427.192927742912	0.2344833863940582	Na22_20min_102
0.06886445153290346	0.0003008375767189791	1427.2825500592478	0.23671144015942	Na22_20min_103
0.06879107769305572	0.0002996375375388962	1427.6792789278072	0.23739212458835302	Na22_20min_104
0.06861107968431536	0.00029496869888282954	1427.7619873689523	0.23577322251504026	Na22_20min_105
0.06910808768291538	0.00031067431970160567	1427.194067559947	0.24004065534999697	Na22_20min_106
0.06885632252238086	0.000300355758450462	1427.3005570550063	0.23786428133026719	Na22_20min_107
0.06863626169809853	0.00029999698533891156	1427.1776875418755	0.2376293690727333	Na22_20min_108
0.06833371265657905	0.0002995089121739108	1427.346548843536	0.23775616891015136	Na22_20min_109
0.06901959809958576	0.00029745355129709585	1426.6213692898923	0.23915633544212928	Na22_20min_110
0.06884087092270073	0.0002993696955883031	1426.8384916529092	0.23825661861928063	Na22_20min_111
0.06879869085302767	0.0002882932864497447	1426.35412122638	0.2368047154608295	Na22_20min_112
0.06880742217430114	0.0002969870783939444	1426.0431403965	0.23750594253079874	Na22_20min_113
0.06811388579173994	0.0003045991054818119	1425.8441356220292	0.23699186073657225	Na22_20min_114
0.06860316808267516	0.0002950916681221367	1425.903002625195	0.236391151512148	Na22_20min_115
0.0690140950571615	0.0003001553927186572	1425.519079725554	0.23635136486154143	Na22_20min_116
